"SHORT_CODE","START_DATE","EVENT_TYPE","CALL_TYPE","EVENT_STATUS","SUBSCRIBER_TYPE","KEYWORD","NB_TAXATION"
"2168000",01/05/2026,"74","VAS","Success","PREPAID","kow3",9741
"2168000",01/05/2026,"74","VAS","Success","PREPAID","rtt1",13662
"2168000",01/05/2026,"74","VAS","Success","PREPAID","ww",13049
"2168000",01/05/2026,"74","VAS","Success","PREPAID","kow2",6765
"2168000",01/05/2026,"74","VAS","Success","HYB","kow",1807
"2168000",01/05/2026,"74","VAS","Success","HYB","ab1",212
"2168000",01/05/2026,"74","VAS","Success","HYB","kow2",557
"2168590602",01/05/2026,"75","VAS","Success","PREPAID","_N",10486
"2168000",01/05/2026,"74","VAS","Success","PREPAID","esp",2022
"2168000",01/05/2026,"74","VAS","Success","HYB","exs1",91
"21685198",01/05/2026,"75","VAS","Success","PREPAID","_N",2780
"21685580",01/05/2026,"74","VAS","Success","HYB","_N",15
"2168000",01/05/2026,"74","VAS","Success","HYB","mo1",154
"2168000",01/05/2026,"74","VAS","Success","PREPAID","qe1",150
"2168000",01/05/2026,"74","VAS","Success","HYB","est1",21
"21685856",01/05/2026,"75","VAS","Success","HYB","_N",168
"2168000",01/05/2026,"74","VAS","Success","PREPAID","viu1",2013
"21685098",01/05/2026,"75","VAS","Success","PREPAID","_N",7905
"21685510",01/05/2026,"74","VAS","Success","HYB","_N",37
"2168000",01/05/2026,"74","VAS","Success","PREPAID","kid2",1
"2168000",01/05/2026,"74","VAS","Success","PREPAID","dse",80
"2168000",01/05/2026,"74","VAS","Success","HYB","sh2",7
"216855193",01/05/2026,"75","VAS","Success","PREPAID","_N",4111
"21685230",01/05/2026,"74","VAS","Success","HYB","_N",4
"21685001",01/05/2026,"75","VAS","Success","PREPAID","_N",787
"21685004",01/05/2026,"74","VAS","Success","HYB","_N",3
"21685012",01/05/2026,"74","VAS","Success","PREPAID","_N",1
"2168000",02/05/2026,"74","VAS","Success","PREPAID","tts",3624
"2168000",02/05/2026,"74","VAS","Success","PREPAID","tj",3819
"2168000",02/05/2026,"74","VAS","Success","PREPAID","rtt1",13887
"2168000",02/05/2026,"74","VAS","Success","HYB","ra1",439
"2168000",02/05/2026,"74","VAS","Success","HYB","foo1",2
"2168000",02/05/2026,"74","VAS","Success","PREPAID","esl1",2611
"2168000",02/05/2026,"74","VAS","Success","PREPAID","plw1",20961
"2168000",02/05/2026,"74","VAS","Success","HYB","cf",525
"21685988",02/05/2026,"74","VAS","Success","PREPAID","_N",102
"2168000",02/05/2026,"74","VAS","Success","POSTPAID","fig2",3
"2168000",02/05/2026,"74","VAS","Success","HYB","too1",32
"2168000",02/05/2026,"74","VAS","Success","HYB","fof1",107
"2168000",02/05/2026,"74","VAS","Success","PREPAID","viu1",1898
"2168000",02/05/2026,"74","VAS","Success","HYB","se1",1309
"2168000",02/05/2026,"74","VAS","Success","HYB","sh1",5
"2168560601",02/05/2026,"75","VAS","Success","HYB","_N",210
"2168000",02/05/2026,"74","VAS","Success","POSTPAID","fof1",1
"2168000",02/05/2026,"74","VAS","Success","POSTPAID","qe3",15
"21685001",02/05/2026,"75","VAS","Success","HYB","_N",83
"21685001",02/05/2026,"75","VAS","Success","PREPAID","_N",870
"2168000",02/05/2026,"74","VAS","Success","HYB","mel1",64
"21685990",02/05/2026,"74","VAS","Success","HYB","_N",1
"2168000",02/05/2026,"74","VAS","Success","PREPAID","dsc",13
"21685856",02/05/2026,"75","VAS","Success","HYB","_N",254
"2168000",03/05/2026,"74","VAS","Success","PREPAID","fig",7815
"2168000",03/05/2026,"74","VAS","Success","PREPAID","rtt1",12937
"2168000",03/05/2026,"74","VAS","Success","PREPAID","tj",3602
"2168000",03/05/2026,"74","VAS","Success","PREPAID","tts",3458
"2168000",03/05/2026,"74","VAS","Success","HYB","cpt",46
"2168000",03/05/2026,"74","VAS","Success","PREPAID","gm",9081
"21685857",03/05/2026,"75","VAS","Success","PREPAID","_N",3056
"2168000",03/05/2026,"74","VAS","Success","PREPAID","ajw1",4887
"2168000",03/05/2026,"74","VAS","Success","PREPAID","qe1",154
"21685988",03/05/2026,"74","VAS","Success","PREPAID","_N",151
"2168000",03/05/2026,"74","VAS","Success","HYB","kow3",553
"2168000",03/05/2026,"74","VAS","Success","PREPAID","foo1",155
"21685085",03/05/2026,"74","VAS","Success","PREPAID","_N",344
"21685515",03/05/2026,"75","VAS","Success","HYB","_N",552
"21685875",03/05/2026,"75","VAS","Success","HYB","_N",326
"2168000",03/05/2026,"74","VAS","Success","POSTPAID","plw1",137
"2168000",03/05/2026,"74","VAS","Success","PREPAID","taw2",11
"2168000",03/05/2026,"74","VAS","Success","POSTPAID","ouk1",65
"2168000",03/05/2026,"74","VAS","Success","PREPAID","exs2",5
"2168000",03/05/2026,"74","VAS","Success","PREPAID","viu1",1908
"2168000",03/05/2026,"74","VAS","Success","PREPAID","ds",579
"2168000",03/05/2026,"74","VAS","Success","PREPAID","dst",63
"21685353",03/05/2026,"75","VAS","Success","PREPAID","_N",6505
"2168590603",03/05/2026,"75","VAS","Success","HYB","_N",231
"21685001",03/05/2026,"75","VAS","Success","PREPAID","_N",654
"21685666",03/05/2026,"74","VAS","Success","PREPAID","_N",21
"2168000",03/05/2026,"74","VAS","Success","HYB","dsc",6
"21685555",03/05/2026,"74","VAS","Success","HYB","_N",3
"2168717",03/05/2026,"74","VAS","Success","PREPAID","_N",1
"21685004",03/05/2026,"74","VAS","Success","PREPAID","_N",1
"2161810",03/05/2026,"74","VAS","Success","HYB","_N",2
"2168000",04/05/2026,"74","VAS","Success","PREPAID","ww",13402
"2168000",04/05/2026,"74","VAS","Success","PREPAID","es1",7555
"2168000",04/05/2026,"74","VAS","Success","HYB","cpr",644
"2168000",04/05/2026,"74","VAS","Success","HYB","tj",610
"2168000",04/05/2026,"74","VAS","Success","HYB","es1",491
"2168000",04/05/2026,"74","VAS","Success","HYB","rtt1",936
"2168000",04/05/2026,"74","VAS","Success","PREPAID","sw1",7494
"2168000",04/05/2026,"74","VAS","Success","PREPAID","exs1",444
"2168000",04/05/2026,"74","VAS","Success","HYB","ra1",364
"2168000",04/05/2026,"74","VAS","Success","PREPAID","plw1",21743
"2168000",04/05/2026,"74","VAS","Success","HYB","gm",203
"2168000",04/05/2026,"74","VAS","Success","PREPAID","lig1",4476
"2168560601",04/05/2026,"75","VAS","Success","PREPAID","_N",5244
"2168000",04/05/2026,"74","VAS","Success","HYB","foo1",14
"2168000",04/05/2026,"74","VAS","Success","POSTPAID","gm",9
"2168000",04/05/2026,"74","VAS","Success","HYB","smt1",710
"2168000",04/05/2026,"74","VAS","Success","PREPAID","mo2",7
"2168000",04/05/2026,"74","VAS","Success","HYB","too1",30
"2168000",04/05/2026,"74","VAS","Success","HYB","mel1",49
"2168000",04/05/2026,"74","VAS","Success","PREPAID","se1",5649
"2168000",04/05/2026,"74","VAS","Success","HYB","nj3",3
"21685353",04/05/2026,"74","VAS","Success","PREPAID","_N",5
"2168000",04/05/2026,"74","VAS","Success","HYB","viu1",226
"21685351",04/05/2026,"75","VAS","Success","HYB","_N",118
"21685510",04/05/2026,"74","VAS","Success","POSTPAID","_N",3
"21685085",04/05/2026,"74","VAS","Success","HYB","_N",9
"216855194",04/05/2026,"75","VAS","Success","PREPAID","_N",259
"21685008",04/05/2026,"75","VAS","Success","PREPAID","_N",353
"21685000",04/05/2026,"74","VAS","Success","PREPAID","_N",1
"2168560601",05/05/2026,"75","VAS","Success","HYB","_N",170
"21685198",05/05/2026,"75","VAS","Success","PREPAID","_N",2942
"2168000",05/05/2026,"74","VAS","Success","PREPAID","sw1",7407
"2168000",05/05/2026,"74","VAS","Success","HYB","plw1",4133
"2168000",05/05/2026,"74","VAS","Success","PREPAID","nj1",3272
"2168560603",05/05/2026,"75","VAS","Success","HYB","_N",222
"2168590601",05/05/2026,"75","VAS","Success","HYB","_N",613
"21685857",05/05/2026,"75","VAS","Success","PREPAID","_N",3861
"21685353",05/05/2026,"75","VAS","Success","PREPAID","_N",7225
"216855201",05/05/2026,"75","VAS","Success","PREPAID","_N",13723
"2168000",05/05/2026,"74","VAS","Success","HYB","kow",1271
"2168000",05/05/2026,"74","VAS","Success","PREPAID","qe3",4780
"2168000",05/05/2026,"74","VAS","Success","PREPAID","esp",2278
"2168000",05/05/2026,"74","VAS","Success","PREPAID","too1",716
"2168590603",05/05/2026,"75","VAS","Success","HYB","_N",237
"2168000",05/05/2026,"74","VAS","Success","POSTPAID","ouk1",42
"2168000",05/05/2026,"74","VAS","Success","HYB","ab1",155
"2168000",05/05/2026,"74","VAS","Success","HYB","nj1",78
"2168000",05/05/2026,"74","VAS","Success","HYB","cf",409
"2168000",05/05/2026,"74","VAS","Success","HYB","raf",689
"2168000",05/05/2026,"74","VAS","Success","HYB","tts",188
"2168000",05/05/2026,"74","VAS","Success","HYB","mo1",86
