"SHORT_CODE","START_DATE","EVENT_TYPE","CALL_TYPE","SUBSCRIBER_TYPE","KEYWORD","NB_TAXATION","AMOUNT"
"2168590602",01/05/2026,"75","VAS","PREPAID","_N",10152,5076
"2168000",01/05/2026,"74","VAS","PREPAID","rtt1",13662,61479
"2168000",01/05/2026,"74","VAS","HYB","kow",1807,10842
"2168000",01/05/2026,"74","VAS","PREPAID","ww",13049,65245
"2168000",01/05/2026,"74","VAS","PREPAID","kow2",6765,4059
"21685198",01/05/2026,"75","VAS","PREPAID","_N",2695,13475
"2168000",01/05/2026,"74","VAS","PREPAID","kow3",9741,58446
"21685098",01/05/2026,"75","VAS","PREPAID","_N",7470,33615
"2168000",01/05/2026,"74","VAS","HYB","kow2",557,3342
"2168000",01/05/2026,"74","VAS","PREPAID","esp",2021,10105
"2168000",01/05/2026,"74","VAS","PREPAID","qe1",150,105
"216855193",01/05/2026,"75","VAS","PREPAID","_N",3873,54222
"2168000",01/05/2026,"74","VAS","HYB","ab1",212,106
"2168000",01/05/2026,"74","VAS","PREPAID","viu1",2012,1006
"2168000",01/05/2026,"74","VAS","HYB","exs1",91,546
"2168000",01/05/2026,"74","VAS","HYB","mo1",154,924
"2168000",01/05/2026,"74","VAS","PREPAID","dse",80,20
"2168000",01/05/2026,"74","VAS","HYB","sw2",27,162
"21685580",01/05/2026,"74","VAS","HYB","_N",15,225
"21685856",01/05/2026,"75","VAS","HYB","_N",168,1176
"2168000",01/05/2026,"74","VAS","HYB","sh2",7,10493
"2168000",01/05/2026,"74","VAS","HYB","est1",21,945
"21685001",01/05/2026,"75","VAS","PREPAID","_N",669,16725
"21685510",01/05/2026,"74","VAS","HYB","_N",37,74
"2168000",02/05/2026,"74","VAS","PREPAID","plw1",20756,10378
"2168000",02/05/2026,"74","VAS","PREPAID","viu1",1898,949
"2168000",02/05/2026,"74","VAS","PREPAID","rtt1",13887,624915
"2168000",02/05/2026,"74","VAS","HYB","cf",525,2625
"2168000",02/05/2026,"74","VAS","HYB","fof1",107,749
"2168560601",02/05/2026,"75","VAS","HYB","_N",207,9315
"2168000",02/05/2026,"74","VAS","PREPAID","tj",3819,171855
"2168000",02/05/2026,"74","VAS","PREPAID","tts",3624,1812
"2168000",02/05/2026,"74","VAS","HYB","ra1",439,2195
"2168000",02/05/2026,"74","VAS","PREPAID","esl1",2611,13055
"21685001",02/05/2026,"75","VAS","PREPAID","_N",808,202
"21685988",02/05/2026,"74","VAS","PREPAID","_N",105,1575
"2168000",02/05/2026,"74","VAS","HYB","se1",1305,9135
"2168000",02/05/2026,"74","VAS","HYB","mel1",64,288
"2168000",02/05/2026,"74","VAS","HYB","dsa",61,2745
"21685001",02/05/2026,"75","VAS","HYB","_N",74,185
"2168000",02/05/2026,"74","VAS","HYB","too1",32,16
"2168000",02/05/2026,"74","VAS","PREPAID","dsc",13,325
"21685001",02/05/2026,"74","VAS","PREPAID","_N",1,5
"21685856",02/05/2026,"75","VAS","HYB","_N",254,1778
"2168000",02/05/2026,"74","VAS","HYB","sh1",5,4495
"2168000",01/05/2026,"74","VAS","PREPAID","dsa",1,45
"2168000",01/05/2026,"74","VAS","PREPAID","kid2",1,9
"21685012",01/05/2026,"74","VAS","PREPAID","_N",1,36
"21685085",03/05/2026,"74","VAS","PREPAID","_N",367,52848
"2168000",03/05/2026,"74","VAS","PREPAID","gm",9081,36324
"2168000",03/05/2026,"74","VAS","PREPAID","ajw1",4887,29322
"2168000",03/05/2026,"74","VAS","PREPAID","fig",7815,429825
"2168000",03/05/2026,"74","VAS","PREPAID","foo1",155,6975
"21685353",03/05/2026,"75","VAS","PREPAID","_N",6067,18201
"2168000",03/05/2026,"74","VAS","PREPAID","rtt1",12937,582165
"2168000",03/05/2026,"74","VAS","PREPAID","tj",3602,16209
"2168000",03/05/2026,"74","VAS","PREPAID","tts",3458,1729
"21685515",03/05/2026,"75","VAS","HYB","_N",526,2893
"21685857",03/05/2026,"75","VAS","PREPAID","_N",2795,19565
"2168000",03/05/2026,"74","VAS","PREPAID","ds",579,26055
"21685875",03/05/2026,"75","VAS","HYB","_N",307,2456
"2168000",03/05/2026,"74","VAS","PREPAID","viu1",1908,954
"2168000",03/05/2026,"74","VAS","HYB","kow3",553,3318
"2168590603",03/05/2026,"75","VAS","HYB","_N",220,1364
"2168000",03/05/2026,"74","VAS","PREPAID","qe1",154,1078
"2168000",03/05/2026,"74","VAS","PREPAID","qe4",115,46
